店铺名称,省份,城市,地区,地址,经度,纬度,所属品类,是否为品牌店,配送,电话,营业时间,近期销量,活动,起送价,配送费,是否为新店,商家评分,总体评分,味道评分,包装评分,配送评分,配送时间,商品评分,服务态度,评价总数,好评数,差评数,有图
贝克汉堡(银塘花苑店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇银塘花苑A7=10号,117.24472,30.702345,炸鸡炸串|,否,蜂鸟专送,13225733821,"[""09:00/22:30""]",7,"1 ： 满25减8，满35减12，满50减20;2 ： 单品折扣;3 ： 单品折扣;4 ： 单品减免;5 ： 单品折扣;6 ： 单品折扣;7 ： 单品折扣;8 ： 单品折扣;9 ： 单品折扣;10 ： 单品减免;11 ： 单品折扣;12 ： 单品折扣;13 ： 单品折扣;14 ： 单品折扣;15 ： 单品折扣;16 ： 单品折扣;17 ： 单品折扣;",10,配送费3,是,5,5,5,5,5,21,5,5,2,2,0,0
殷家小厨(山水云间店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇山水云间B1-05号,117.246349,30.715923,江浙菜|,否,蜂鸟专送,13865100552,"[""10:00/22:00""]",,no,10,配送费3,是,0,0,0,0,0,0,0,0,0,0,0,0
初客牛排(横埠店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县横埠镇开发区,117.504271,30.896929,披萨意面|西餐|,否,no,15024355419,"[""08:00/17:00""]",1,"1 ： 新用户下单立减10元;",20,配送费3,否,0,0,0,0,0,0,0,0,0,0,0,0
锅先森(旗山路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇旗山路5号,117.242798,30.705608,煲仔饭|简餐|,否,蜂鸟专送,15665307158,"[""13:00/24:00""]",6,"1 ： 新用户下单立减10元;2 ： 满40减2，满50减3;",15,配送费4,否,5,5,4.5,4,4.5,27,4,4.5,2,2,0,0
小陆烧烤(银塘星城店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇银塘星城综合楼A幢1层109室,117.24404,30.702824,烧烤|,否,蜂鸟专送,15349802666,"[""17:00/24:00""]",47,"1 ： 新用户下单立减10元;2 ： 满20减3，满40减4，满50减5;3 ： 美食聚惠2;",30,配送费4,否,4.2727272727273,4.2727272727273,3.5151515151515,3.4242424242424,4.030303030303,29,3.4242424242424,3.5151515151515,33,26,4,5
飞阳餐厅,安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇银塘花苑B3-18号,117.245211,30.703753,其他菜系|小龙虾|,否,蜂鸟专送,18257090700,"[""09:00/23:00""]",57,"1 ： 新用户下单立减10元;2 ： 满20减6，满30减8，满40减10;",15,配送费4,否,4.6923076923077,4.6923076923077,4.3846153846154,4.3846153846154,4.9230769230769,32,4.3846153846154,4.3846153846154,13,13,0,0
合肥川味龙虾(华翔观天下店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇莲城东路63-3号,117.232213,30.706042,川湘菜|小龙虾|,否,蜂鸟专送,18955610702,"[""10:00/23:30""]",70,"1 ： 新用户下单立减10元;",15,配送费4,否,4.7,4.7,4.3333333333333,4.3,4.4333333333333,28,4.3,4.3333333333333,30,29,0,1
大伟商行(金山路店),安徽省,铜陵市,枞阳县,枞阳县枞阳镇金山路,117.231326,30.702665,大型超市|便利店|,否,蜂鸟专送,18855645929,"[""09:00/23:50""]",40,"1 ： 新用户下单立减10元;2 ： 满20减2，满30减3，满40减4，满50减5;",20,配送费4,否,5,5,3.5,3.625,3.375,25,3.625,3.5,8,8,0,0
大拇指(湖滨路店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇湖滨路1-5号,117.230748,30.700744,炸鸡炸串|,否,no,18298293651,"[""08:30/23:00""]",97,"1 ： 新用户下单立减10元;2 ： 满15减1，满30减5，满50减8;3 ： 第二份半价;4 ： 美食聚惠2;",10,配送费1,否,4.8709677419355,4.8709677419355,4.258064516129,4.3548387096774,4.3870967741935,33,4.3548387096774,4.258064516129,34,33,0,0
正新鸡排(狮峰山店),安徽省,铜陵市,枞阳县,安徽省铜陵市枞阳县枞阳镇莲花路28-6,117.221733,30.703528,炸鸡炸串|,是,蜂鸟专送,18155648860,"[""07:00/23:55""]",121,"1 ： 新用户下单立减10元;2 ： 满20减4，满30减6，满40减7;3 ： 美食聚惠;",15,配送费4,否,4.6813186813187,4.6813186813187,4.1098901098901,4.1758241758242,4.3186813186813,28,4.1758241758242,4.1098901098901,95,90,1,7
